1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0,1
2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0,1
4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0,3
5,QW-3,Totto,Bulto unisex,Bulto,18000.0,1
7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0,3
10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0,4
12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0,4
14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0,4
15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0,4
16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0,4
17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0,4
19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0,5
